id,age,job,marital,education,default,balance,housing,loan,y
40001,33,entrepreneur,married,secondary,no,2,yes,yes,no
40002,33,unknown,single,unknown,no,1,no,no,no
40003,33,services,married,secondary,no,0,yes,no,no
40004,28,blue-collar,married,secondary,no,723,yes,yes,no
40005,56,management,married,tertiary,no,779,yes,no,no
40006,52,entrepreneur,married,secondary,no,113,yes,yes,no
40007,46,management,single,secondary,no,-246,yes,no,no
40008,36,technician,single,secondary,no,265,yes,yes,no
40009,36,admin.,divorced,secondary,no,506,yes,no,no
40010,37,admin.,single,secondary,no,0,yes,no,no
40011,44,services,divorced,secondary,no,2586,yes,no,no
40012,44,technician,married,secondary,no,0,yes,no,no
40013,47,blue-collar,married,unknown,no,306,yes,no,no
40014,53,technician,divorced,secondary,no,989,yes,no,no
40015,51,management,married,tertiary,no,6530,yes,no,no
40016,59,management,divorced,tertiary,no,59,yes,no,no
40017,57,blue-collar,married,secondary,no,5935,yes,yes,no
40018,55,blue-collar,married,primary,no,23,yes,no,no
40019,49,services,divorced,secondary,no,0,yes,yes,no
40020,57,retired,married,secondary,no,486,yes,no,no
40021,60,admin.,married,secondary,no,290,yes,no,no
40022,57,entrepreneur,divorced,secondary,no,-37,no,no,no
40023,55,blue-collar,married,secondary,no,383,no,no,no
40024,44,blue-collar,married,secondary,no,-674,yes,no,no
40025,53,blue-collar,married,primary,no,90,no,no,no
40026,52,blue-collar,married,primary,no,128,yes,no,no
40027,34,admin.,married,secondary,no,61,no,yes,no
40028,29,services,divorced,secondary,no,31,yes,no,no
40029,59,retired,divorced,primary,no,81,yes,no,no
40030,44,blue-collar,married,secondary,no,144,yes,no,no
40031,41,admin.,married,secondary,no,351,yes,no,no
40032,59,management,divorced,tertiary,no,262,no,no,no
40033,56,technician,divorced,unknown,no,56,yes,no,no
40034,52,technician,married,tertiary,no,7,no,yes,no
40035,55,management,married,unknown,no,1185,no,no,no
40036,32,admin.,single,secondary,no,217,yes,no,no
40037,38,technician,single,secondary,no,1685,yes,no,no
40038,53,housemaid,divorced,primary,no,947,yes,no,no
40039,43,services,married,primary,no,3,yes,no,no
40040,51,blue-collar,married,unknown,no,-19,yes,no,no
40041,60,retired,divorced,secondary,no,216,yes,no,no
40042,52,blue-collar,married,secondary,no,782,yes,no,no
40043,48,unemployed,married,secondary,no,41,yes,no,no
40044,54,services,married,secondary,no,214,yes,no,no
40045,58,retired,married,primary,no,235,yes,no,no
40046,31,management,single,tertiary,no,0,yes,no,no
40047,33,blue-collar,single,secondary,no,307,yes,no,no
40048,48,self-employed,married,tertiary,no,7,yes,no,no
40049,38,blue-collar,married,secondary,no,-390,yes,no,no
40050,53,unemployed,married,unknown,no,13,no,no,no
40051,55,retired,married,secondary,no,0,no,yes,no
40052,58,management,married,unknown,no,1065,yes,no,no
40053,53,blue-collar,married,unknown,no,1827,no,no,no
40054,42,management,married,unknown,no,275,no,no,no
40055,22,blue-collar,single,secondary,no,0,yes,no,no
40056,51,services,married,secondary,no,2248,yes,no,no
40057,39,blue-collar,married,primary,no,279,yes,no,no
40058,39,admin.,divorced,secondary,no,-349,yes,no,no
40059,41,blue-collar,married,primary,no,183,yes,yes,no
40060,57,technician,married,secondary,no,1078,yes,no,no
40061,49,services,married,secondary,no,47,no,no,no
40062,36,self-employed,married,tertiary,no,19,no,no,no
40063,50,technician,single,tertiary,no,339,yes,no,no
40064,32,blue-collar,married,secondary,no,1331,yes,no,no
40065,54,management,married,tertiary,no,0,no,no,no
40066,42,blue-collar,married,unknown,no,408,yes,no,no
40067,57,retired,married,secondary,no,211,yes,no,no
40068,54,technician,married,unknown,no,851,yes,no,no
40069,46,admin.,married,secondary,no,-358,yes,no,no
40070,36,blue-collar,married,secondary,no,539,yes,yes,no
40071,48,management,married,secondary,no,161,yes,no,no
40072,42,blue-collar,married,unknown,no,57,yes,no,no
40073,45,management,divorced,tertiary,no,24598,yes,no,no
40074,51,admin.,single,secondary,yes,-2,no,no,no
40075,34,management,married,tertiary,no,46,yes,no,no
40076,39,blue-collar,married,primary,no,-100,yes,no,no
