id,carat,cut,color,clarity,depth,table,price,x,y,z
21813,1.18,Ideal,E,VS1,62.4,54.0,9886,6.79,6.74,4.22
42846,0.41,Premium,F,VVS1,61.3,59.0,1356,4.79,4.73,2.92
13869,1.23,Premium,I,SI1,59.6,60.0,5648,6.96,6.93,4.14
46658,0.51,Ideal,D,VS2,62.4,55.0,1787,5.11,5.14,3.2
52913,0.73,Ideal,F,SI2,61.9,55.0,2588,5.78,5.82,3.59
23367,0.3,Ideal,H,SI1,61.3,59.0,425,4.29,4.33,2.64
30265,0.36,Ideal,G,SI1,61.8,55.0,725,4.58,4.61,2.84
29584,0.31,Ideal,F,VVS2,62.2,53.0,706,4.37,4.41,2.73
46311,0.3,Premium,I,VVS2,61.8,58.0,526,4.28,4.33,2.66
18725,1.5,Fair,F,SI2,65.4,58.0,7644,7.17,7.1,4.67
26015,0.38,Very Good,H,VS2,61.5,55.0,645,4.66,4.67,2.86
13106,1.02,Ideal,D,SI2,61.7,58.0,5426,6.41,6.49,3.98
33370,0.41,Ideal,I,VVS2,61.7,56.0,827,4.77,4.8,2.95
10759,1.01,Good,E,SI1,60.9,64.0,4853,6.29,6.22,3.81
17149,1.01,Very Good,G,VS1,62.5,56.0,6846,6.36,6.4,3.99
42913,0.41,Ideal,E,VVS2,60.5,57.0,1363,4.83,4.86,2.93
53215,0.58,Very Good,F,VVS1,59.7,57.0,2636,5.48,5.51,3.28
42590,0.65,Very Good,H,SI2,62.0,56.0,1331,5.53,5.56,3.44
2508,0.7,Ideal,F,VS1,62.4,56.0,3199,5.67,5.65,3.53
32451,0.39,Very Good,E,VS2,60.9,58.0,793,4.72,4.77,2.89
10196,0.91,Premium,E,VS2,61.6,58.0,4739,6.2,6.18,3.81
47878,0.52,Ideal,G,VVS2,62.3,55.0,1911,5.12,5.16,3.2
27225,2.14,Very Good,F,SI2,58.2,61.0,17582,8.45,8.5,4.93
52469,0.71,Good,H,VVS2,63.0,59.0,2517,5.64,5.67,3.56
51455,0.71,Ideal,H,SI2,62.6,56.0,2376,5.65,5.75,3.57
46579,0.72,Premium,J,SI1,62.0,58.0,1785,5.74,5.77,3.57
41977,0.55,Ideal,F,SI2,62.4,56.0,1263,5.26,5.22,3.27
19488,1.2,Very Good,G,VS2,62.2,58.0,8124,6.75,6.79,4.21
46065,0.52,Very Good,G,VS1,62.2,63.0,1736,5.22,5.13,3.22
18267,1.53,Very Good,J,VS2,62.9,59.0,7418,7.31,7.34,4.61
39922,0.41,Premium,D,VVS2,62.2,58.0,1105,4.78,4.8,2.98
36873,0.42,Ideal,E,VS2,62.2,55.0,958,4.79,4.83,2.99
52956,0.24,Very Good,F,VVS1,58.7,59.0,552,4.04,4.1,2.39
52344,0.72,Fair,E,SI1,56.9,61.0,2498,5.91,5.97,3.38
9161,1.0,Good,D,SI2,64.5,59.0,4541,6.25,6.31,4.05
35436,0.32,Premium,E,VS2,60.5,59.0,900,4.43,4.39,2.67
18388,0.29,Very Good,E,VS1,59.2,58.0,619,4.36,4.39,2.59
9815,1.09,Ideal,G,SI2,61.2,57.0,4670,6.68,6.63,4.07
20023,0.32,Very Good,G,SI2,62.3,58.0,421,4.37,4.42,2.74
42154,0.45,Premium,E,VS1,60.8,60.0,1282,4.94,4.9,2.99
18486,1.0,Very Good,G,VVS2,62.3,58.0,7528,6.39,6.45,4.0
9251,0.9,Very Good,E,SI1,63.2,58.0,4560,6.12,6.1,3.86
45646,0.25,Ideal,H,VVS1,60.2,56.0,525,4.1,4.11,2.47
1648,0.7,Good,E,VS1,60.2,61.0,3018,5.71,5.75,3.45
35959,0.33,Very Good,H,SI1,63.0,57.0,475,4.39,4.41,2.77
27832,0.31,Very Good,H,VVS1,61.2,56.0,651,4.37,4.39,2.68
44449,0.55,Ideal,G,VS1,60.9,56.0,1591,5.29,5.35,3.24
51069,0.54,Ideal,F,VS2,61.3,57.0,2333,5.29,5.24,3.23
50300,0.27,Very Good,F,VVS1,59.7,59.0,544,4.19,4.22,2.51
25000,1.29,Ideal,E,VVS2,59.8,59.0,13530,7.07,7.11,4.24
41184,0.4,Ideal,D,VS1,59.9,57.0,1200,4.82,4.77,2.87
3719,0.74,Ideal,F,VS2,61.9,57.0,3454,5.79,5.81,3.59
31407,0.3,Ideal,G,VVS1,61.8,56.0,764,4.32,4.36,2.68
37316,0.39,Ideal,D,VS1,61.8,57.0,979,4.68,4.7,2.9
1441,0.7,Premium,F,VVS2,62.2,58.0,2975,5.72,5.66,3.54
16397,1.09,Very Good,G,VS1,62.5,59.0,6546,6.56,6.59,4.11
19824,1.31,Ideal,H,VS1,62.4,56.0,8392,7.0,6.98,4.36
18874,1.52,Ideal,J,VS1,61.3,55.0,7740,7.42,7.39,4.54
13573,1.21,Very Good,G,SI2,59.6,60.0,5556,6.92,6.94,4.13
40052,0.38,Premium,E,VS2,59.2,60.0,1112,4.77,4.73,2.81
15080,1.07,Very Good,F,SI1,61.6,58.0,6061,6.54,6.6,4.05
45794,0.51,Ideal,E,VS2,61.7,53.0,1709,5.2,5.18,3.2
30931,0.33,Ideal,H,SI2,61.2,54.0,448,4.45,4.5,2.74
23708,0.34,Very Good,H,VVS2,61.0,55.0,632,4.52,4.55,2.76
41203,0.41,Ideal,F,VVS1,61.2,57.0,1205,4.79,4.85,2.95
25202,2.26,Very Good,H,SI2,63.1,58.0,13797,8.3,8.22,5.21
36904,0.4,Fair,G,SI1,59.9,67.0,960,4.81,4.77,2.87
25348,1.52,Very Good,F,VS2,62.7,59.0,14066,7.3,7.33,4.59
48604,0.77,Premium,G,SI2,61.2,58.0,1996,5.99,5.96,3.64
35883,0.32,Ideal,G,IF,61.0,56.0,918,4.43,4.45,2.71
34762,0.41,Premium,E,SI2,60.0,59.0,876,4.82,4.78,2.88
48166,0.62,Premium,F,VS1,60.1,58.0,1942,5.56,5.48,3.32
41594,0.23,Very Good,E,VS1,62.8,55.0,391,3.88,3.9,2.44
12795,0.9,Ideal,E,VS1,61.3,57.0,5335,6.2,6.24,3.81
23307,1.56,Premium,H,VS1,62.0,57.0,11345,7.48,7.43,4.62
21982,1.77,Ideal,D,SI2,60.9,53.0,10051,7.92,7.85,4.8
25067,1.06,Ideal,D,VVS2,61.8,56.0,13588,6.49,6.53,4.03
43102,0.5,Ideal,H,VS1,61.6,58.0,1384,5.08,5.11,3.14
40852,0.57,Ideal,I,SI1,62.5,55.0,1173,5.28,5.32,3.31
32359,0.36,Premium,E,VS2,62.0,58.0,789,4.54,4.56,2.82
42064,0.39,Very Good,G,IF,63.5,56.0,1271,4.67,4.65,2.96
46124,0.55,Very Good,E,VS2,62.1,60.0,1744,5.19,5.24,3.24
8839,1.01,Good,E,SI2,63.2,59.0,4479,6.34,6.38,4.02
48699,0.65,Very Good,G,VS2,63.2,57.0,2009,5.54,5.47,3.48
33530,0.35,Ideal,D,VS2,60.6,56.0,829,4.54,4.57,2.76
21227,1.5,Premium,F,SI2,61.4,60.0,9374,7.34,7.28,4.49
43602,0.31,Good,G,VS2,63.2,58.0,507,4.28,4.3,2.71
49514,0.5,Very Good,F,VVS1,61.1,55.0,2122,5.14,5.18,3.15
32035,0.32,Ideal,E,VVS2,62.1,53.0,779,4.41,4.44,2.75
20574,1.29,Ideal,H,VS1,61.2,57.0,8887,7.01,7.05,4.3
32275,0.3,Premium,G,VVS1,60.7,58.0,789,4.34,4.36,2.64
24773,1.51,Premium,F,VS1,62.7,59.0,13134,7.31,7.23,4.56
52227,0.7,Ideal,H,VS1,61.9,55.0,2484,5.66,5.72,3.52
37928,0.3,Very Good,H,SI2,63.2,55.0,485,4.29,4.26,2.7
13677,1.02,Good,H,VS1,59.8,63.0,5598,6.54,6.61,3.93
6346,1.0,Premium,H,SI2,62.7,59.0,4032,6.35,6.31,3.97
28891,0.3,Very Good,G,VVS2,61.8,59.0,684,4.22,4.26,2.62
40712,0.53,Premium,H,SI1,61.2,60.0,1159,5.22,5.1,3.16
20819,1.13,Ideal,G,VVS1,61.2,57.0,9049,6.65,6.72,4.09
13132,1.15,Premium,H,SI1,62.0,58.0,5433,6.77,6.71,4.18
33590,0.37,Premium,E,SI1,59.9,59.0,833,4.7,4.68,2.81
4205,0.72,Ideal,F,VS2,61.8,56.0,3564,5.72,5.74,3.54
14357,1.07,Premium,F,SI1,61.7,56.0,5813,6.66,6.5,4.06
49319,0.32,Very Good,F,SI2,63.5,56.0,540,4.37,4.35,2.77
21483,1.35,Premium,G,VS2,61.1,58.0,9580,7.16,7.12,4.36
43044,0.51,Ideal,H,VS2,61.6,55.0,1375,5.16,5.19,3.19
6971,0.95,Premium,G,SI1,62.6,58.0,4150,6.26,6.21,3.9
47746,0.54,Ideal,D,VS2,61.1,57.0,1892,5.22,5.25,3.2
43523,0.51,Very Good,D,SI1,60.4,61.0,1425,5.09,5.14,3.09
17885,1.27,Premium,H,VS2,62.1,60.0,7219,6.94,6.88,4.29
52934,0.7,Good,F,VS2,62.6,61.0,2591,5.56,5.62,3.5
21584,1.45,Very Good,I,IF,60.6,61.0,9683,7.32,7.41,4.46
17580,1.01,Very Good,F,VS1,62.5,60.0,7079,6.36,6.41,3.99
1790,1.02,Good,E,I1,63.1,60.0,3051,6.31,6.4,4.01
26765,2.06,Premium,G,SI2,61.8,58.0,16587,8.15,8.1,5.02
29229,0.32,Very Good,F,VS1,62.3,55.0,696,4.38,4.42,2.74
43469,0.39,Ideal,E,IF,61.5,55.5,1418,4.68,4.72,2.88
1079,0.31,Premium,E,SI2,60.9,60.0,558,4.38,4.35,2.66
9668,1.07,Premium,F,SI2,61.8,59.0,4644,6.57,6.53,4.05
31835,0.34,Very Good,G,VVS2,61.4,59.0,775,4.47,4.52,2.76
22132,1.5,Ideal,I,VS1,62.0,54.0,10164,7.32,7.38,4.56
21406,1.39,Ideal,D,SI1,61.9,52.0,9519,7.24,7.25,4.48
46471,0.53,Good,E,VS1,63.2,56.0,1776,5.14,5.18,3.26
15437,1.37,Premium,F,SI2,62.8,57.0,6181,7.12,7.08,4.46
2922,0.91,Good,I,VS2,64.2,55.0,3287,6.13,6.09,3.92
24658,1.5,Very Good,F,VS2,61.9,60.0,13001,7.29,7.32,4.52
30173,0.38,Ideal,G,VS2,61.0,55.0,721,4.67,4.71,2.86
43738,0.51,Very Good,E,SI1,60.8,57.0,1438,5.19,5.24,3.17
7980,0.84,Ideal,G,VS1,61.8,56.0,4325,6.02,6.11,3.75
35102,0.3,Ideal,F,IF,61.6,58.0,886,4.28,4.32,2.65
33732,0.39,Ideal,E,VS2,60.9,55.0,839,4.73,4.76,2.89
31391,0.3,Good,E,VVS1,57.8,60.0,763,4.45,4.48,2.58
41532,0.42,Good,G,VVS1,63.6,55.0,1235,4.78,4.75,3.03
27561,2.6,Ideal,J,SI2,62.5,56.0,18369,8.81,8.76,5.49
17413,1.51,Premium,J,SI1,61.2,62.0,6976,7.36,7.32,4.49
40510,0.45,Good,F,VS1,58.6,62.2,1144,5.0,5.05,2.95
50261,0.54,Premium,G,VVS1,60.7,56.0,2236,5.3,5.25,3.2
10355,1.04,Ideal,F,SI1,62.2,57.0,4770,6.5,6.4,4.01
41403,0.55,Very Good,I,VS2,61.0,57.0,1224,5.31,5.32,3.24
39391,0.55,Ideal,I,SI1,61.4,54.0,1076,5.3,5.35,3.27
21187,1.22,Ideal,G,VS1,62.0,56.0,9339,6.83,6.88,4.24
30754,0.25,Premium,F,IF,61.1,58.0,740,4.1,4.08,2.5
52504,0.72,Ideal,E,SI2,61.4,55.0,2526,5.78,5.8,3.56
14064,0.3,Ideal,F,VS2,61.8,57.0,605,4.31,4.33,2.67
32534,0.39,Very Good,G,VS1,62.7,58.0,798,4.63,4.69,2.92
18578,1.51,Ideal,I,SI2,61.8,57.0,7577,7.43,7.36,4.57
28973,0.31,Very Good,H,SI1,62.8,58.0,435,4.28,4.32,2.7
38472,0.38,Very Good,G,VS1,60.7,55.0,1031,4.71,4.74,2.87
48378,0.57,Ideal,E,VS1,61.4,57.0,1965,5.32,5.37,3.28
36920,0.41,Premium,G,VS1,62.3,56.0,961,4.8,4.77,2.98
21294,1.5,Premium,E,SI2,61.0,58.0,9450,7.35,7.3,4.47
2533,0.9,Fair,D,SI2,65.9,59.0,3205,6.0,5.95,3.94
48479,0.56,Ideal,G,VVS2,61.2,55.0,1979,5.35,5.37,3.28
4594,0.9,Very Good,I,VS1,63.3,58.0,3656,6.07,6.1,3.85
44441,0.57,Premium,E,SI1,62.2,55.0,1590,5.36,5.31,3.32
52408,0.71,Ideal,G,VS2,61.7,57.0,2511,5.75,5.72,3.54
34198,0.33,Ideal,F,VS2,62.3,56.0,854,4.46,4.43,2.77
25326,2.02,Ideal,I,SI2,60.9,60.0,14027,8.08,8.14,4.94
3175,0.81,Ideal,E,SI1,61.3,57.0,3338,6.08,6.03,3.71
33603,0.31,Very Good,D,SI2,61.5,60.0,462,4.31,4.34,2.66
40146,0.38,Ideal,F,VS1,61.3,56.0,1116,4.68,4.72,2.88
45815,0.52,Ideal,E,VS2,61.3,55.0,1712,5.18,5.2,3.18
10565,1.0,Premium,H,SI1,58.3,60.0,4816,6.5,6.44,3.77
32924,0.44,Premium,E,SI1,62.3,59.0,810,4.84,4.88,3.03
15911,1.53,Good,H,I1,62.3,55.6,6361,7.34,7.38,4.59
29906,0.41,Ideal,F,SI1,61.8,55.0,711,4.75,4.8,2.95
31508,0.34,Very Good,G,VS2,63.1,57.0,765,4.47,4.43,2.81
25095,1.72,Fair,F,SI1,64.8,58.0,13622,7.5,7.46,4.85
39380,0.38,Ideal,G,IF,61.6,56.0,1074,4.67,4.72,2.89
27039,0.32,Very Good,G,VS1,61.7,55.0,645,4.37,4.41,2.71
25667,1.11,Ideal,D,VVS1,62.1,55.0,14584,6.63,6.64,4.12
19468,1.34,Good,H,VS2,59.1,60.0,8109,7.15,7.19,4.24
7423,0.92,Very Good,H,VS1,61.0,62.0,4228,6.26,6.32,3.84
20480,1.5,Very Good,E,SI2,63.1,57.0,8820,7.32,7.27,4.6
48018,0.63,Premium,E,SI1,61.3,58.0,1921,5.57,5.52,3.4
17036,1.24,Ideal,D,SI1,61.9,56.0,6805,6.9,6.87,4.26
4136,0.95,Very Good,I,SI1,61.0,61.0,3544,6.29,6.37,3.86
23530,1.23,Premium,F,VVS2,61.6,59.0,11534,6.9,6.8,4.22
41881,0.56,Good,D,SI2,63.2,54.0,1258,5.24,5.26,3.32
51107,0.7,Very Good,D,SI2,61.4,58.0,2337,5.7,5.74,3.51
31428,0.3,Ideal,H,IF,61.8,57.0,764,4.31,4.36,2.68
41456,0.52,Premium,E,SI2,61.8,54.0,1229,5.18,5.15,3.19
46030,0.57,Ideal,G,VS2,61.6,57.0,1728,5.36,5.32,3.29
28146,0.3,Ideal,G,VVS2,61.8,57.0,665,4.29,4.32,2.66
11271,1.14,Premium,D,SI2,60.3,58.0,4972,6.79,6.71,4.07
25295,1.58,Ideal,H,VS1,60.4,57.0,13950,7.55,7.65,4.59
32758,0.34,Premium,I,VVS1,62.6,58.0,803,4.47,4.45,2.79
40702,0.4,Ideal,H,IF,62.7,57.0,1158,4.68,4.7,2.94
18109,1.56,Premium,I,VS2,60.8,59.0,7326,7.56,7.51,4.58
38965,0.27,Ideal,G,VS2,61.5,55.0,490,4.18,4.21,2.58
21784,2.02,Very Good,G,SI2,63.3,57.0,9853,8.03,7.96,5.06
5521,0.6,Ideal,D,VVS1,62.3,55.0,3850,5.38,5.4,3.36
27015,1.5,Premium,E,VS1,59.5,61.0,17143,7.46,7.43,4.43
10553,1.02,Very Good,E,SI1,60.5,63.0,4813,6.48,6.54,3.94
21760,1.5,Very Good,I,VVS2,63.3,58.0,9828,7.24,7.21,4.57
7948,1.16,Premium,G,SI2,62.0,59.0,4320,6.74,6.62,4.14
15826,1.2,Premium,H,VS2,61.4,59.0,6333,6.79,6.75,4.16
18464,1.07,Very Good,F,VS1,62.0,56.0,7513,6.51,6.55,4.05
4442,1.03,Fair,H,SI1,65.1,57.0,3617,6.43,6.36,4.16
35191,0.31,Ideal,G,IF,61.7,54.0,891,4.38,4.4,2.71
22326,1.16,Ideal,G,IF,59.9,57.0,10368,6.85,6.93,4.13
18498,1.51,Fair,H,VS2,64.9,53.0,7534,7.28,7.24,4.71
13715,0.3,Ideal,E,VS2,61.8,57.0,603,4.28,4.3,2.65
11353,1.01,Premium,E,SI1,59.9,59.0,4991,6.49,6.46,3.88
53336,0.74,Ideal,D,SI1,62.2,57.0,2655,5.81,5.77,3.6
11529,1.0,Premium,E,SI1,62.7,61.0,5027,6.37,6.32,3.98
9164,1.02,Premium,F,SI2,61.5,58.0,4541,6.49,6.42,3.97
20569,1.21,Premium,F,VS1,61.3,57.0,8879,6.9,6.86,4.22
911,0.79,Ideal,F,SI1,62.8,56.0,2878,5.88,5.9,3.7
49892,0.72,Very Good,I,VS2,63.3,59.0,2177,5.66,5.62,3.57
3178,0.91,Good,G,SI2,63.6,59.0,3340,6.11,6.15,3.9
25722,2.22,Ideal,G,SI2,62.6,57.0,14637,8.35,8.29,5.21
44552,0.55,Ideal,G,SI1,61.7,55.0,1605,5.25,5.28,3.25
37411,0.38,Premium,G,VS2,59.2,60.0,983,4.73,4.7,2.79
4155,0.72,Ideal,G,VVS1,61.7,54.8,3548,5.73,5.77,3.55
1402,0.25,Very Good,E,VVS1,61.5,56.0,560,4.06,4.08,2.5
11805,1.06,Very Good,E,SI1,61.4,58.0,5090,6.53,6.62,4.04
10170,1.3,Premium,H,SI2,60.4,61.0,4732,7.09,7.04,4.27
28306,0.3,Very Good,H,SI1,62.9,59.0,432,4.24,4.28,2.68
30206,0.38,Ideal,G,SI1,61.0,55.0,723,4.69,4.73,2.87
45623,0.55,Very Good,F,VS2,61.7,56.0,1692,5.25,5.29,3.25
36013,0.39,Premium,J,VVS1,61.8,56.0,921,4.71,4.64,2.89
27426,2.16,Ideal,I,SI1,62.0,56.0,18029,8.28,8.3,5.14
9545,1.0,Good,E,SI2,63.5,56.0,4620,6.31,6.38,4.03
40444,0.7,Premium,G,I1,59.7,59.0,1138,5.76,5.57,3.39
22969,1.63,Ideal,I,VS2,61.9,54.3,11019,7.54,7.58,4.68
16054,1.02,Ideal,F,VS2,62.1,57.0,6412,6.44,6.37,3.98
19428,1.34,Ideal,I,VVS2,61.4,56.0,8079,7.07,7.09,4.35
4117,0.79,Very Good,E,VS2,62.7,56.0,3539,5.85,5.88,3.68
47279,0.55,Ideal,H,VVS1,62.4,56.0,1845,5.21,5.24,3.26
21172,1.31,Ideal,F,SI1,61.6,55.0,9331,7.04,7.09,4.35
15613,1.12,Very Good,F,SI1,62.9,57.0,6262,6.6,6.62,4.16
52817,0.71,Very Good,E,SI1,62.0,59.0,2573,5.69,5.76,3.55
52036,0.71,Very Good,E,VS2,63.4,61.0,2450,5.6,5.57,3.54
10874,1.05,Good,E,SI1,64.2,61.0,4878,6.33,6.41,4.09
40850,0.55,Ideal,G,SI2,62.1,56.0,1173,5.25,5.28,3.27
35490,0.43,Ideal,F,VS2,61.5,56.0,904,4.85,4.89,2.99
26822,2.17,Ideal,I,SI1,62.1,57.0,16716,8.26,8.32,5.15
18019,1.01,Ideal,G,VS1,61.2,57.0,7290,6.42,6.47,3.95
46432,0.62,Premium,G,VS1,62.9,58.0,1770,5.41,5.37,3.39
13886,1.03,Ideal,D,SI1,62.4,57.0,5653,6.47,6.44,4.03
15459,1.21,Very Good,G,SI1,62.2,60.0,6190,6.71,6.73,4.18
17638,1.36,Premium,I,VS2,61.9,56.0,7104,7.17,7.08,4.41
5160,0.9,Very Good,F,SI2,62.0,61.0,3770,6.14,6.16,3.81
38304,0.37,Very Good,F,SI2,60.7,57.0,487,4.62,4.67,2.82
29721,0.31,Good,H,VVS1,63.3,58.0,707,4.28,4.32,2.72
35903,0.32,Ideal,G,IF,62.2,53.0,918,4.41,4.43,2.75
39472,0.41,Very Good,E,VS1,62.8,58.0,1079,4.7,4.72,2.96
14233,1.07,Ideal,D,SI1,61.8,55.0,5767,6.54,6.59,4.06
33843,0.3,Ideal,G,IF,61.0,56.0,844,4.34,4.37,2.65
5191,1.07,Premium,H,SI2,60.0,59.0,3775,6.6,6.56,3.95
27964,0.3,Premium,F,VS1,61.5,59.0,658,4.31,4.33,2.66
51909,0.7,Premium,H,VS1,60.2,56.0,2435,5.78,5.71,3.46
14367,1.09,Ideal,F,SI1,62.0,56.0,5816,6.56,6.61,4.08
38070,0.3,Premium,E,VVS2,61.8,58.0,1013,4.29,4.26,2.64
41362,0.52,Very Good,H,SI1,63.1,57.0,1219,5.14,5.09,3.23
45619,0.55,Ideal,F,VS2,61.1,57.0,1692,5.27,5.3,3.23
5421,1.05,Ideal,I,SI1,60.4,57.0,3822,6.6,6.58,3.98
40897,0.41,Ideal,D,VS2,59.7,57.0,1177,4.87,4.84,2.9
6363,0.32,Ideal,I,VS2,63.0,55.0,576,4.39,4.34,2.75
36772,0.3,Ideal,E,VVS1,61.4,56.0,956,4.37,4.33,2.67
49714,0.56,Ideal,G,VVS2,62.6,53.0,2148,5.27,5.31,3.31
