carat,cut,color,clarity,depth,table,x,y,z
0.9,Very Good,H,SI2,62.1,56,6.08,6.19,3.78
0.91,Good,G,SI1,64.3,60,6.12,6.07,3.9
1.37,Very Good,I,SI2,60.8,58,7.07,7.17,4.37
0.37,Premium,E,VS1,60.4,58,4.61,4.63,2.8
1.77,Premium,G,SI1,61.4,60,7.77,7.83,4.81
0.81,Ideal,E,SI2,60.9,57,6.03,6,3.66
1.02,Premium,H,VS2,61.8,58,6.49,6.44,3.98
1.01,Premium,F,SI2,62.3,61,6.37,6.34,3.96
0.9,Very Good,G,VS2,59.6,59,6.35,6.37,3.75
0.5,Very Good,E,SI2,58,62,5.23,5.2,3.04
1.11,Ideal,F,VS2,61.7,57,6.7,6.74,4.07
0.32,Premium,G,SI1,61,59,4.42,4.44,2.71
1.21,Ideal,G,VS1,61.4,56,6.86,6.87,4.23
0.52,Very Good,E,VS2,63,58,5.11,5.15,3.21
0.6,Very Good,G,SI1,59.7,59,5.53,5.43,3.26
0.32,Premium,G,SI2,62.8,58,4.34,4.37,2.74
0.7,Ideal,H,SI1,61.2,57,5.76,5.77,3.53
1.04,Ideal,I,SI1,61.8,56.1,6.54,6.49,4.01
0.31,Premium,H,VVS1,62.6,58,4.33,4.28,2.7
0.31,Ideal,E,SI1,62.7,57,4.32,4.29,2.72
0.32,Ideal,G,IF,61.3,55,4.42,4.42,2.72
0.34,Premium,E,SI1,60.7,61,4.54,4.51,2.73
0.41,Good,E,SI1,63.1,57,4.72,4.77,3
0.34,Ideal,G,VVS1,61.3,55,4.56,4.48,2.78
0.3,Good,D,VS1,64.3,57,4.26,4.3,2.76
0.3,Ideal,D,VVS2,61.7,55,4.34,4.35,2.67
2.11,Ideal,J,VS2,60.3,59,8.24,8.28,4.96
1.38,Ideal,I,VS2,60.9,54,7.15,7.21,4.38
1,Fair,I,SI1,64.8,61,6.29,6.25,4.08
0.43,Ideal,G,VS1,61.6,56,4.85,4.86,3
0.72,Ideal,H,SI1,61.1,57,5.81,5.81,3.56
0.7,Ideal,H,SI1,61.7,57,5.71,5.74,3.54
1.11,Ideal,G,SI1,61.6,56,6.69,6.64,4.12
0.3,Very Good,H,SI1,62.5,56,4.24,4.31,2.65
0.3,Very Good,D,VVS2,63.2,56,4.24,4.27,2.68
1.21,Premium,J,SI1,60,60,6.88,6.93,4.12
0.4,Ideal,J,VS1,62.2,53,4.72,4.75,2.95
0.35,Ideal,E,VS1,61.2,56,4.56,4.6,2.78
0.41,Ideal,E,VVS2,62.2,54,4.76,4.78,2.97
0.91,Premium,F,SI2,60.8,55,6.25,6.21,3.8
1.21,Ideal,J,VS2,62.3,59,6.79,6.83,4.25
1.02,Premium,G,SI2,62.5,59,6.41,6.47,4
0.51,Very Good,I,VS2,63.3,56,5.06,5.1,3.22
0.32,Premium,I,VS1,61,60,4.42,4.43,2.71
1.15,Premium,G,VVS1,60.8,57,6.77,6.73,4.11
1,Premium,D,SI1,62,57,6.41,6.36,3.97
0.71,Very Good,E,VS1,62.6,60,5.7,5.72,3.56
0.3,Premium,I,VS1,61.7,58,4.29,4.32,2.66
0.31,Ideal,G,VVS2,62.7,57,4.31,4.34,2.71
0.52,Ideal,F,VVS2,60.8,57,5.22,5.21,3.17
0.75,Good,E,SI1,63,65,5.74,5.81,3.63
0.85,Ideal,D,VVS1,62.2,56,6.05,6.11,3.78
1.26,Premium,J,VS2,62.5,58,6.93,6.89,4.31
0.38,Premium,G,VS2,59.2,60,4.77,4.74,2.81
1,Premium,F,VS2,62.6,60,6.3,6.38,3.99
0.91,Good,I,VS1,62.8,57,6.01,6.09,3.79
1.01,Good,E,VVS2,63.3,57,6.29,6.39,4.02
0.4,Premium,J,VS1,61.6,58,4.74,4.86,2.91
0.58,Ideal,D,VS1,61.6,55,5.37,5.39,3.33
0.41,Ideal,F,VVS1,60.7,57,4.85,4.77,2.93
1.01,Very Good,F,VS2,62,60,6.37,6.42,3.96
2.01,Very Good,G,SI1,63.5,57,8.07,7.99,5.07
0.41,Very Good,H,SI1,58.1,59,4.94,4.97,2.84
0.7,Very Good,F,VS2,63.3,58,5.6,5.62,3.55
0.9,Good,F,SI1,64.3,58,5.97,6.01,3.86
0.5,Good,H,VS2,57.9,62,5.24,5.22,3.04
0.54,Ideal,F,VVS2,61.6,54,5.26,5.25,3.26
0.56,Premium,H,VS1,61.1,58,5.31,5.25,3.25
0.5,Good,G,SI1,63.1,57,4.99,5.02,3.19
0.72,Ideal,J,VS1,61.9,54,5.77,5.8,3.59
0.31,Good,I,SI1,63.8,57,4.28,4.32,2.75
